Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Sademäärä (mm),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2022,1,9,16:00,UTC,7,1011,0,94,0,20,-4.7,-5.5,8050,37,5.1,2.9
2022,1,9,17:00,UTC,7,1012.1,0,91,0,20,-4.7,-6,9610,30,6.4,4.3
2022,1,9,18:00,UTC,7,1013.3,0,90,0,20,-5,-6.4,11740,39,6.1,3.5
2022,1,9,19:00,UTC,7,1014.4,0,91,0,19,-5.3,-6.6,12230,64,8.2,4.3
2022,1,9,20:00,UTC,7,1015.4,0,90,0,19,-5.3,-6.6,12850,51,5.3,3.4
2022,1,9,21:00,UTC,7,1016.3,0,91,0,19,-5.2,-6.5,13060,37,4.8,3
2022,1,9,22:00,UTC,7,1017.2,0,89,0,19,-5.5,-7.1,21430,27,6.4,4.3
2022,1,9,23:00,UTC,8,1018.2,0,90,0,19,-6.3,-7.7,27760,45,5.8,3.3
2022,1,10,00:00,UTC,8,1019,0,91,0,19,-7,-8.2,21500,14,4.8,3
2022,1,10,01:00,UTC,8,1019.9,0,92,0,19,-7.4,-8.5,27860,53,5.5,3.9
2022,1,10,02:00,UTC,7,1020.8,0,91,0,19,-7.4,-8.6,23620,28,5.7,3.7
2022,1,10,03:00,UTC,7,1021.7,0,92,0,19,-7.6,-8.7,24120,33,6,3.6
2022,1,10,04:00,UTC,7,1022.6,0,90,0,19,-7.1,-8.4,26070,44,5.7,2.5
2022,1,10,05:00,UTC,8,1023.3,0,84,0,19,-7.2,-9.5,42650,59,7.5,4.4
2022,1,10,06:00,UTC,1,1024.4,0,85,0,19,-8,-10,47590,44,3.9,2.2
2022,1,10,07:00,UTC,0,1025.8,0,87,0,19,-9.2,-10.9,28450,29,5.3,2.7
2022,1,10,08:00,UTC,0,1026.8,0,87,0,19,-10.2,-12,22760,14,4.9,2.7
2022,1,10,09:00,UTC,0,1027.6,0,83,0,19,-11,-13.3,28950,6,4.9,1.9
2022,1,10,10:00,UTC,0,1028.5,0,77,0,19,-10.6,-13.8,36100,339,4.4,1.6
2022,1,10,11:00,UTC,0,1029.1,0,77,0,19,-10.4,-13.7,36050,354,4,2.5
2022,1,10,12:00,UTC,0,1029.7,0,78,0,19,-10.2,-13.4,45900,345,4.6,2.6
2022,1,10,13:00,UTC,0,1030.3,0,81,0,19,-11.3,-13.9,46820,355,4.1,2.5
2022,1,10,14:00,UTC,0,1031.1,0,82,0,19,-11.4,-13.8,41670,354,2.8,1.7
2022,1,10,15:00,UTC,0,1032.1,0,83,0,19,-11.8,-14.2,41870,15,5.6,2.2
2022,1,10,16:00,UTC,0,1032.7,0,82,0,19,-12.7,-15.1,43320,14,4.1,2.5
2022,1,10,17:00,UTC,0,1033.3,0,83,0,19,-13.1,-15.3,43280,12,3,1.5
2022,1,10,18:00,UTC,0,1034,0,84,0,19,-13.9,-16,34670,14,3.1,1.8
2022,1,10,19:00,UTC,0,1034.7,0,85,0,19,-14,-16,31260,16,3.2,1.9
2022,1,10,20:00,UTC,0,1035.2,0,86,0,19,-15.2,-17.1,29370,36,3.2,1.7
2022,1,10,21:00,UTC,0,1035.7,0,87,0,19,-15.3,-17,33500,357,2.5,1.7
2022,1,10,22:00,UTC,0,1036.4,0,89,0,19,-16.2,-17.6,28970,23,2.5,1.5
2022,1,10,23:00,UTC,0,1036.6,0,87,0,19,-16.7,-18.3,31030,356,2.3,1.7
2022,1,11,00:00,UTC,0,1037,0,87,0,19,-17,-18.7,33210,7,2.5,1.7
2022,1,11,01:00,UTC,0,1037.2,0,86,0,19,-17.1,-19,37170,356,2.1,1.5
2022,1,11,02:00,UTC,1,1037.2,0,87,0,19,-17.1,-18.8,35240,0,0,0
2022,1,11,03:00,UTC,0,1037.4,0,86,0,19,-17.3,-19.1,14960,343,1.1,0.6
2022,1,11,04:00,UTC,1,1037.1,0,87,0,19,-16.1,-17.7,21590,82,2.1,1.2
2022,1,11,05:00,UTC,7,1037.1,0,86,0,19,-15.5,-17.3,4120,334,2.5,1.8
2022,1,11,06:00,UTC,9,1037.2,0,90,0,19,-14.3,-15.6,6360,0,0,0
2022,1,11,07:00,UTC,8,1037.7,0,91,0,19,-12.9,-14.1,2970,314,3.1,2.3
2022,1,11,08:00,UTC,8,1037.8,0,91,0,19,-10.9,-12.1,4250,332,2,1.3
2022,1,11,09:00,UTC,7,1037.6,0,90,0,19,-10.6,-11.9,8410,94,1.5,0.7
2022,1,11,10:00,UTC,7,1037.1,0,91,0,19,-9.6,-10.8,9760,116,2.9,2.4
2022,1,11,11:00,UTC,8,1036.9,0,92,0,19,-8.4,-9.5,10140,121,2.5,1.8
2022,1,11,12:00,UTC,7,1036.3,0,93,0,19,-7.5,-8.5,11580,89,2.1,1.1
2022,1,11,13:00,UTC,7,1036.2,0,87,0,19,-5.3,-7,11610,221,5.9,4
2022,1,11,14:00,UTC,7,1036.4,0,88,0,19,-6.6,-8.2,37450,220,7.1,4.1
2022,1,11,15:00,UTC,5,1035.7,0,82,0,19,-6.4,-9,45290,210,7,4.1
2022,1,11,16:00,UTC,7,1035.2,0,82,0,19,-5.6,-8.2,43780,213,5.6,3.6
2022,1,11,17:00,UTC,7,1034.7,0,84,0,19,-5.4,-7.8,50000,232,6.7,2.5
2022,1,11,18:00,UTC,8,1034.3,0,87,0,19,-5,-6.9,32690,212,7.9,4.9
2022,1,11,19:00,UTC,7,1033.7,0,87,0,19,-4.8,-6.7,46710,203,6.3,3.6
2022,1,11,20:00,UTC,8,1033.2,0,92,0,18,-4.9,-6.1,34190,208,7.1,4.7
